NomeDispositivo,DescricaoDispositivo,Voltagem,Status,Temperatura,ConsumoWatts,CustoConsumo
Televisão,Eletrônico de entretenimento,125.15,Ligado,29.76,95.97,2.7
Televisão,Eletrônico de entretenimento,127.25,Ligado,29.21,92.29,1.86
Televisão,Eletrônico de entretenimento,127.99,Ligado,28.11,100.82,1.98
Geladeira,Eletrodoméstico de cozinha,221.32,Ligado,5.76,150.04,3.43
Geladeira,Eletrodoméstico de cozinha,220.45,Ligado,5.89,155.14,1.82
Geladeira,Eletrodoméstico de cozinha,223.52,Ligado,4.64,151.84,2.34
Microondas,Aquecedor de alimentos,123.47,Ligado,33.21,1191.36,17.04
Máquina de Lavar,Eletrodoméstico de lavanderia,219.29,Ligado,18.43,502.16,12.83
Ar Condicionado,Climatizador de ambiente,222.92,Desligado,25.06,2004.27,37.22
Televisão,Eletrônico de entretenimento,131.97,Ligado,31.24,101.9,2.6
Microondas,Aquecedor de alimentos,128.86,Ligado,36.37,1209.3,17.38
Microondas,Aquecedor de alimentos,127.48,Ligado,33.64,1208.08,32.15
Máquina de Lavar,Eletrodoméstico de lavanderia,223.89,Ligado,18.27,496.91,9.25
Geladeira,Eletrodoméstico de cozinha,217.66,Ligado,3.68,152.74,2.2
Microondas,Aquecedor de alimentos,124.7,Ligado,33.04,1205.12,28.13
Microondas,Aquecedor de alimentos,124.91,Ligado,33.57,1203.51,12.15
Ar Condicionado,Climatizador de ambiente,221.71,Desligado,23.07,2000.74,23.95
Ar Condicionado,Climatizador de ambiente,223.99,Desligado,25.22,2005.32,58.28
Microondas,Aquecedor de alimentos,122.29,Ligado,33.3,1202.71,18.75
Televisão,Eletrônico de entretenimento,130.05,Ligado,28.24,106.0,1.99
Geladeira,Eletrodoméstico de cozinha,222.65,Ligado,2.97,142.98,3.64
Ar Condicionado,Climatizador de ambiente,217.37,Desligado,23.05,1991.07,26.31
Ar Condicionado,Climatizador de ambiente,218.41,Desligado,23.16,1995.59,33.44
Máquina de Lavar,Eletrodoméstico de lavanderia,224.06,Ligado,20.98,496.47,10.02
Televisão,Eletrônico de entretenimento,127.81,Ligado,30.54,93.85,2.73
Geladeira,Eletrodoméstico de cozinha,221.25,Ligado,3.85,144.59,2.8
Televisão,Eletrônico de entretenimento,125.65,Ligado,31.21,102.24,1.21
Microondas,Aquecedor de alimentos,126.76,Ligado,33.99,1194.18,15.9
Microondas,Aquecedor de alimentos,125.46,Ligado,35.19,1193.97,27.28
Máquina de Lavar,Eletrodoméstico de lavanderia,218.01,Ligado,21.91,503.88,13.41
Ar Condicionado,Climatizador de ambiente,221.29,Desligado,24.08,1992.2,22.78
Máquina de Lavar,Eletrodoméstico de lavanderia,224.53,Ligado,21.11,498.34,6.64
Geladeira,Eletrodoméstico de cozinha,218.34,Ligado,2.93,150.97,3.51
Máquina de Lavar,Eletrodoméstico de lavanderia,222.19,Ligado,21.64,504.62,13.77
Máquina de Lavar,Eletrodoméstico de lavanderia,223.07,Ligado,18.43,502.96,14.0
Televisão,Eletrônico de entretenimento,130.5,Ligado,30.99,98.23,1.08
Ar Condicionado,Climatizador de ambiente,217.62,Desligado,23.51,1998.63,31.46
Ar Condicionado,Climatizador de ambiente,216.87,Desligado,23.95,1991.02,59.66
Máquina de Lavar,Eletrodoméstico de lavanderia,215.54,Ligado,18.76,505.04,12.28
Geladeira,Eletrodoméstico de cozinha,220.53,Ligado,4.8,148.8,3.36
Geladeira,Eletrodoméstico de cozinha,218.83,Ligado,5.62,151.5,3.7
Televisão,Eletrônico de entretenimento,125.16,Ligado,28.56,95.07,2.03
Ar Condicionado,Climatizador de ambiente,217.76,Desligado,24.13,1993.89,39.88
Televisão,Eletrônico de entretenimento,131.67,Ligado,29.75,96.1,2.51
Televisão,Eletrônico de entretenimento,130.82,Ligado,28.07,91.96,2.74
Microondas,Aquecedor de alimentos,127.66,Ligado,34.67,1190.62,33.66
Ar Condicionado,Climatizador de ambiente,217.19,Desligado,22.29,2004.79,32.55
Máquina de Lavar,Eletrodoméstico de lavanderia,224.49,Ligado,18.73,498.83,14.54
Máquina de Lavar,Eletrodoméstico de lavanderia,218.07,Ligado,20.34,504.14,5.22
Máquina de Lavar,Eletrodoméstico de lavanderia,224.54,Ligado,19.16,504.58,7.61
Microondas,Aquecedor de alimentos,123.09,Ligado,34.33,1191.08,32.3
Televisão,Eletrônico de entretenimento,124.11,Ligado,28.38,97.69,2.53
Máquina de Lavar,Eletrodoméstico de lavanderia,217.06,Ligado,20.78,496.54,9.2
Geladeira,Eletrodoméstico de cozinha,221.42,Ligado,3.64,156.19,2.42
Ar Condicionado,Climatizador de ambiente,219.35,Desligado,23.85,1991.82,37.39
Máquina de Lavar,Eletrodoméstico de lavanderia,221.09,Ligado,21.89,497.79,9.41
Ar Condicionado,Climatizador de ambiente,222.12,Desligado,23.29,1992.39,54.12
Geladeira,Eletrodoméstico de cozinha,219.87,Ligado,3.49,156.45,4.03
Máquina de Lavar,Eletrodoméstico de lavanderia,216.69,Ligado,20.84,498.71,7.31
Máquina de Lavar,Eletrodoméstico de lavanderia,219.8,Ligado,18.84,502.64,8.21
Televisão,Eletrônico de entretenimento,129.63,Ligado,30.13,107.18,1.45
Máquina de Lavar,Eletrodoméstico de lavanderia,218.78,Ligado,20.96,496.57,11.34
Máquina de Lavar,Eletrodoméstico de lavanderia,224.76,Ligado,21.69,507.18,11.69
Máquina de Lavar,Eletrodoméstico de lavanderia,219.8,Ligado,20.07,494.75,9.77
Televisão,Eletrônico de entretenimento,125.49,Ligado,29.73,109.51,2.98
Microondas,Aquecedor de alimentos,122.71,Ligado,33.68,1204.33,13.69
Máquina de Lavar,Eletrodoméstico de lavanderia,215.95,Ligado,19.6,490.58,10.74
Ar Condicionado,Climatizador de ambiente,220.04,Desligado,22.58,1998.72,49.86
Ar Condicionado,Climatizador de ambiente,223.23,Desligado,25.55,2002.83,20.83
Televisão,Eletrônico de entretenimento,125.6,Ligado,31.87,106.05,2.92
Máquina de Lavar,Eletrodoméstico de lavanderia,221.97,Ligado,20.4,501.13,14.07
Televisão,Eletrônico de entretenimento,122.35,Ligado,30.79,90.18,1.54
Máquina de Lavar,Eletrodoméstico de lavanderia,219.17,Ligado,20.27,505.77,11.2
Televisão,Eletrônico de entretenimento,123.19,Ligado,31.59,95.86,1.41
Televisão,Eletrônico de entretenimento,131.72,Ligado,30.27,104.09,1.72
Ar Condicionado,Climatizador de ambiente,218.49,Desligado,24.23,1991.17,20.91
Máquina de Lavar,Eletrodoméstico de lavanderia,219.38,Ligado,18.97,509.59,10.31
Geladeira,Eletrodoméstico de cozinha,222.55,Ligado,2.49,157.72,4.37
Geladeira,Eletrodoméstico de cozinha,216.42,Ligado,4.87,150.53,2.34
Microondas,Aquecedor de alimentos,124.2,Ligado,34.39,1197.57,13.88
Geladeira,Eletrodoméstico de cozinha,218.93,Ligado,5.77,152.23,3.79
Máquina de Lavar,Eletrodoméstico de lavanderia,219.17,Ligado,20.15,508.23,10.94
Máquina de Lavar,Eletrodoméstico de lavanderia,215.11,Ligado,18.68,500.25,10.38
Televisão,Eletrônico de entretenimento,131.0,Ligado,31.41,102.69,1.25
Ar Condicionado,Climatizador de ambiente,218.3,Desligado,25.95,2006.65,26.99
Ar Condicionado,Climatizador de ambiente,220.21,Desligado,23.5,1997.44,51.83
Ar Condicionado,Climatizador de ambiente,216.46,Desligado,25.91,1993.6,25.08
Microondas,Aquecedor de alimentos,126.23,Ligado,33.9,1192.89,24.33
Microondas,Aquecedor de alimentos,125.1,Ligado,36.18,1191.89,27.52
Máquina de Lavar,Eletrodoméstico de lavanderia,221.95,Ligado,20.86,499.12,5.38
Televisão,Eletrônico de entretenimento,122.18,Ligado,30.73,94.45,2.77
Televisão,Eletrônico de entretenimento,122.69,Ligado,30.64,105.27,1.35
Ar Condicionado,Climatizador de ambiente,216.81,Desligado,24.79,2006.13,56.47
Televisão,Eletrônico de entretenimento,123.96,Ligado,29.23,92.93,1.31
Máquina de Lavar,Eletrodoméstico de lavanderia,220.9,Ligado,20.69,490.48,13.02
Máquina de Lavar,Eletrodoméstico de lavanderia,217.88,Ligado,18.25,504.23,9.0
Geladeira,Eletrodoméstico de cozinha,220.37,Ligado,5.89,152.78,2.9
Microondas,Aquecedor de alimentos,122.91,Ligado,35.54,1191.78,12.75
Televisão,Eletrônico de entretenimento,131.45,Ligado,28.9,92.54,2.06
Microondas,Aquecedor de alimentos,129.83,Ligado,34.34,1194.59,32.83
Ar Condicionado,Climatizador de ambiente,217.08,Desligado,23.25,1993.49,47.53
Microondas,Aquecedor de alimentos,124.83,Ligado,36.08,1196.22,23.41
Microondas,Aquecedor de alimentos,130.94,Ligado,34.58,1209.93,16.07
Ar Condicionado,Climatizador de ambiente,223.29,Desligado,24.13,2006.61,41.49
Televisão,Eletrônico de entretenimento,122.13,Ligado,28.74,94.27,1.93
Máquina de Lavar,Eletrodoméstico de lavanderia,220.14,Ligado,19.13,492.66,9.29
Máquina de Lavar,Eletrodoméstico de lavanderia,221.78,Ligado,21.79,509.23,14.27
Ar Condicionado,Climatizador de ambiente,224.22,Desligado,24.48,1995.85,31.5
Televisão,Eletrônico de entretenimento,126.5,Ligado,29.68,102.0,2.57
Ar Condicionado,Climatizador de ambiente,218.75,Desligado,24.14,2005.4,21.54
Geladeira,Eletrodoméstico de cozinha,220.55,Ligado,2.62,147.04,3.97
Ar Condicionado,Climatizador de ambiente,218.18,Desligado,23.77,2005.06,45.97
Microondas,Aquecedor de alimentos,131.67,Ligado,35.7,1202.05,22.65
Ar Condicionado,Climatizador de ambiente,222.91,Desligado,23.11,1990.36,24.63
Microondas,Aquecedor de alimentos,124.76,Ligado,33.3,1190.93,25.58
Máquina de Lavar,Eletrodoméstico de lavanderia,219.35,Ligado,18.33,502.08,6.09
Microondas,Aquecedor de alimentos,129.09,Ligado,34.91,1191.13,29.86
Geladeira,Eletrodoméstico de cozinha,220.52,Ligado,5.7,149.01,3.21
Ar Condicionado,Climatizador de ambiente,215.99,Desligado,24.47,1997.86,30.38
Máquina de Lavar,Eletrodoméstico de lavanderia,221.01,Ligado,19.28,499.97,14.24
Máquina de Lavar,Eletrodoméstico de lavanderia,215.99,Ligado,18.03,491.6,10.3
Geladeira,Eletrodoméstico de cozinha,222.31,Ligado,2.93,156.18,2.14
Geladeira,Eletrodoméstico de cozinha,220.58,Ligado,4.11,154.73,3.21
Microondas,Aquecedor de alimentos,131.9,Ligado,34.62,1191.39,21.51
Máquina de Lavar,Eletrodoméstico de lavanderia,221.57,Ligado,18.18,497.07,14.71
Microondas,Aquecedor de alimentos,128.26,Ligado,34.42,1194.76,27.9
Geladeira,Eletrodoméstico de cozinha,224.48,Ligado,3.64,156.39,2.02
Microondas,Aquecedor de alimentos,129.17,Ligado,34.6,1194.64,27.81
Televisão,Eletrônico de entretenimento,130.0,Ligado,31.26,101.89,1.03
Microondas,Aquecedor de alimentos,125.68,Ligado,36.87,1207.34,14.66
Ar Condicionado,Climatizador de ambiente,216.13,Desligado,24.32,2003.39,34.56
Máquina de Lavar,Eletrodoméstico de lavanderia,222.46,Ligado,19.65,498.27,5.45
Geladeira,Eletrodoméstico de cozinha,218.1,Ligado,5.31,153.2,1.7
Geladeira,Eletrodoméstico de cozinha,224.26,Ligado,4.37,147.6,3.69
Microondas,Aquecedor de alimentos,130.91,Ligado,36.97,1192.12,21.02
Ar Condicionado,Climatizador de ambiente,221.17,Desligado,25.86,1993.32,42.67
Microondas,Aquecedor de alimentos,125.01,Ligado,36.93,1202.91,24.72
Geladeira,Eletrodoméstico de cozinha,216.99,Ligado,4.39,155.82,3.76
Máquina de Lavar,Eletrodoméstico de lavanderia,224.32,Ligado,21.5,506.39,8.27
Televisão,Eletrônico de entretenimento,124.79,Ligado,30.68,99.4,1.37
Máquina de Lavar,Eletrodoméstico de lavanderia,215.58,Ligado,21.17,493.74,13.57
Televisão,Eletrônico de entretenimento,122.08,Ligado,31.13,105.38,2.83
Microondas,Aquecedor de alimentos,129.71,Ligado,36.93,1199.93,35.93
Ar Condicionado,Climatizador de ambiente,220.28,Desligado,24.55,2008.3,29.38
Televisão,Eletrônico de entretenimento,129.15,Ligado,31.16,100.79,2.98
Geladeira,Eletrodoméstico de cozinha,221.62,Ligado,3.06,158.68,2.79
Microondas,Aquecedor de alimentos,122.33,Ligado,34.36,1206.15,24.02
Ar Condicionado,Climatizador de ambiente,216.91,Desligado,22.59,1994.97,48.97
Televisão,Eletrônico de entretenimento,127.37,Ligado,29.4,96.88,1.27
Televisão,Eletrônico de entretenimento,123.8,Ligado,30.58,99.87,2.4
Microondas,Aquecedor de alimentos,127.74,Ligado,35.29,1202.49,14.45
Televisão,Eletrônico de entretenimento,129.93,Ligado,31.65,106.62,2.36
Máquina de Lavar,Eletrodoméstico de lavanderia,221.26,Ligado,20.84,494.47,13.99
Geladeira,Eletrodoméstico de cozinha,221.36,Ligado,2.29,153.06,2.93
Televisão,Eletrônico de entretenimento,128.89,Ligado,28.63,102.74,2.99
Ar Condicionado,Climatizador de ambiente,220.68,Desligado,25.03,1990.29,33.77
Máquina de Lavar,Eletrodoméstico de lavanderia,222.44,Ligado,18.77,502.45,14.22
Máquina de Lavar,Eletrodoméstico de lavanderia,215.26,Ligado,20.59,508.93,7.25
Máquina de Lavar,Eletrodoméstico de lavanderia,220.71,Ligado,18.54,509.71,7.61
Máquina de Lavar,Eletrodoméstico de lavanderia,218.44,Ligado,20.96,498.22,11.39
Televisão,Eletrônico de entretenimento,125.79,Ligado,28.04,100.95,2.48
Máquina de Lavar,Eletrodoméstico de lavanderia,217.58,Ligado,21.86,506.76,14.64
Geladeira,Eletrodoméstico de cozinha,218.44,Ligado,5.52,156.32,1.91
Microondas,Aquecedor de alimentos,127.94,Ligado,33.51,1200.5,30.2
Máquina de Lavar,Eletrodoméstico de lavanderia,217.28,Ligado,19.9,508.47,5.34
Geladeira,Eletrodoméstico de cozinha,219.39,Ligado,4.84,153.78,2.29
Máquina de Lavar,Eletrodoméstico de lavanderia,223.05,Ligado,18.49,507.77,9.16
Televisão,Eletrônico de entretenimento,125.16,Ligado,30.76,102.93,1.87
Televisão,Eletrônico de entretenimento,126.88,Ligado,31.43,91.84,2.18
Máquina de Lavar,Eletrodoméstico de lavanderia,221.19,Ligado,18.41,496.01,7.85
Máquina de Lavar,Eletrodoméstico de lavanderia,222.28,Ligado,19.07,499.15,10.84
Máquina de Lavar,Eletrodoméstico de lavanderia,222.96,Ligado,18.54,497.44,13.74
Microondas,Aquecedor de alimentos,125.37,Ligado,33.28,1202.51,35.66
Microondas,Aquecedor de alimentos,123.42,Ligado,36.56,1208.05,19.19
Ar Condicionado,Climatizador de ambiente,215.53,Desligado,24.47,2001.38,26.36
Geladeira,Eletrodoméstico de cozinha,223.88,Ligado,4.28,154.78,3.23
Televisão,Eletrônico de entretenimento,131.76,Ligado,28.28,90.7,2.28
Máquina de Lavar,Eletrodoméstico de lavanderia,218.7,Ligado,21.36,506.88,5.26
Microondas,Aquecedor de alimentos,126.12,Ligado,34.9,1191.26,33.48
Microondas,Aquecedor de alimentos,124.2,Ligado,34.92,1193.95,14.54
Ar Condicionado,Climatizador de ambiente,222.13,Desligado,24.57,2007.54,30.98
Televisão,Eletrônico de entretenimento,125.92,Ligado,28.2,107.24,1.43
Televisão,Eletrônico de entretenimento,122.99,Ligado,31.19,93.68,2.54
Ar Condicionado,Climatizador de ambiente,219.97,Desligado,23.65,2001.81,36.82
Televisão,Eletrônico de entretenimento,122.57,Ligado,28.23,101.55,2.67
Máquina de Lavar,Eletrodoméstico de lavanderia,223.55,Ligado,20.55,502.02,9.15
Geladeira,Eletrodoméstico de cozinha,216.83,Ligado,4.29,155.61,4.67
