NomeDispositivo,DescricaoDispositivo,Voltagem,Status,Temperatura,ConsumoWatts,CustoConsumo
Máquina de Lavar,Eletrodoméstico de lavanderia,220.42,Ligado,18.47,500.92,8.73
Geladeira,Eletrodoméstico de cozinha,223.66,Ligado,3.46,159.74,4.06
Máquina de Lavar,Eletrodoméstico de lavanderia,217.01,Ligado,18.28,493.45,10.64
Máquina de Lavar,Eletrodoméstico de lavanderia,216.04,Ligado,18.26,509.19,8.03
Geladeira,Eletrodoméstico de cozinha,217.49,Ligado,3.11,147.19,1.88
Microondas,Aquecedor de alimentos,130.14,Ligado,35.1,1204.11,35.03
Televisão,Eletrônico de entretenimento,127.33,Ligado,30.44,103.63,1.29
Microondas,Aquecedor de alimentos,124.09,Ligado,35.23,1196.35,19.99
Televisão,Eletrônico de entretenimento,129.7,Ligado,30.76,93.66,1.8
Televisão,Eletrônico de entretenimento,129.59,Ligado,29.39,92.25,1.3
Geladeira,Eletrodoméstico de cozinha,221.85,Ligado,2.07,155.92,4.28
Televisão,Eletrônico de entretenimento,123.07,Ligado,30.21,105.43,2.26
Máquina de Lavar,Eletrodoméstico de lavanderia,218.32,Ligado,19.6,496.02,12.96
Microondas,Aquecedor de alimentos,128.5,Ligado,35.86,1203.13,29.73
Microondas,Aquecedor de alimentos,131.63,Ligado,33.99,1196.23,30.13
Máquina de Lavar,Eletrodoméstico de lavanderia,221.68,Ligado,20.83,497.35,14.1
Ar Condicionado,Climatizador de ambiente,215.8,Desligado,23.25,2005.09,46.24
Microondas,Aquecedor de alimentos,126.77,Ligado,34.01,1192.5,21.4
Geladeira,Eletrodoméstico de cozinha,218.57,Ligado,2.62,156.81,4.11
Televisão,Eletrônico de entretenimento,126.62,Ligado,32.0,102.5,1.18
Ar Condicionado,Climatizador de ambiente,220.64,Desligado,23.51,1992.91,57.41
Ar Condicionado,Climatizador de ambiente,221.74,Desligado,24.93,1995.28,41.02
Televisão,Eletrônico de entretenimento,122.63,Ligado,28.11,97.86,1.33
Televisão,Eletrônico de entretenimento,130.72,Ligado,29.77,98.83,2.26
Ar Condicionado,Climatizador de ambiente,220.43,Desligado,23.82,1993.89,22.41
Televisão,Eletrônico de entretenimento,130.97,Ligado,30.88,96.0,2.87
Ar Condicionado,Climatizador de ambiente,220.32,Desligado,25.54,1994.21,27.23
Máquina de Lavar,Eletrodoméstico de lavanderia,219.16,Ligado,18.77,496.32,7.85
Geladeira,Eletrodoméstico de cozinha,221.12,Ligado,2.87,153.7,1.71
Ar Condicionado,Climatizador de ambiente,219.44,Desligado,25.52,2007.83,52.06
Televisão,Eletrônico de entretenimento,124.86,Ligado,29.84,91.92,1.99
Microondas,Aquecedor de alimentos,125.65,Ligado,35.36,1200.36,20.05
Microondas,Aquecedor de alimentos,130.31,Ligado,33.21,1195.77,30.38
Televisão,Eletrônico de entretenimento,131.81,Ligado,29.79,100.71,2.63
Geladeira,Eletrodoméstico de cozinha,224.68,Ligado,4.6,154.79,3.09
Microondas,Aquecedor de alimentos,125.67,Ligado,35.76,1201.64,14.37
Ar Condicionado,Climatizador de ambiente,224.83,Desligado,24.94,1993.45,48.92
Microondas,Aquecedor de alimentos,123.92,Ligado,36.28,1198.01,35.85
Microondas,Aquecedor de alimentos,128.06,Ligado,35.69,1202.01,31.58
Máquina de Lavar,Eletrodoméstico de lavanderia,215.85,Ligado,19.87,498.97,11.6
Geladeira,Eletrodoméstico de cozinha,216.84,Ligado,5.9,154.65,4.32
Ar Condicionado,Climatizador de ambiente,223.34,Desligado,25.22,1993.45,26.96
Máquina de Lavar,Eletrodoméstico de lavanderia,224.32,Ligado,19.32,492.8,6.3
Ar Condicionado,Climatizador de ambiente,221.66,Desligado,22.38,2003.63,49.89
Geladeira,Eletrodoméstico de cozinha,217.65,Ligado,3.73,148.08,4.18
Televisão,Eletrônico de entretenimento,128.88,Ligado,29.29,92.04,1.98
Microondas,Aquecedor de alimentos,128.94,Ligado,36.25,1191.66,20.17
Geladeira,Eletrodoméstico de cozinha,223.36,Ligado,4.22,143.1,1.49
Ar Condicionado,Climatizador de ambiente,222.34,Desligado,22.17,1998.79,47.65
Máquina de Lavar,Eletrodoméstico de lavanderia,221.75,Ligado,20.7,490.92,5.14
